Baseline Agriculture,,,,,,,,,,,,,,,,,
Greenhouse gas emissions for Agricultural Activites,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,
Sector,Subsector,End-Use Application,Activity,Activity Type,Activity Basis,Case,Flow Name,Formula,Unit,Year,Value,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2020,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2021,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2022,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2023,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2024,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2025,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2026,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2027,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2028,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2029,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2030,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2031,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2032,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2033,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2034,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2035,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2036,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2037,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2038,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2039,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2040,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2041,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2042,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2043,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2044,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2045,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2046,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2047,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2048,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2049,8.3,,,,,,
Agriculture,-,Urea and liming - CO2,,,,BAU,Carbon dioxide,CO2,MMmt,2050,8.3,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2020,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2021,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2022,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2023,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2024,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2025,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2026,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2027,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2028,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2029,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2030,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2031,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2032,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2033,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2034,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2035,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2036,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2037,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2038,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2039,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2040,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2041,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2042,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2043,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2044,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2045,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2046,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2047,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2048,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2049,6.8408,,,,,,
Agriculture,-,Enteric Fermentation - CH4,,,,BAU,Methane,CH4,MMmt,2050,6.8408,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2020,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2021,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2022,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2023,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2024,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2025,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2026,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2027,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2028,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2029,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2030,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2031,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2032,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2033,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2034,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2035,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2036,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2037,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2038,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2039,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2040,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2041,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2042,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2043,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2044,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2045,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2046,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2047,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2048,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2049,0.6248,,,,,,
Agriculture,-,Rice Cultivation - CH4,,,,BAU,Methane,CH4,MMmt,2050,0.6248,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2020,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2021,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2022,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2023,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2024,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2025,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2026,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2027,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2028,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2029,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2030,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2031,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2032,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2033,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2034,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2035,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2036,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2037,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2038,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2039,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2040,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2041,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2042,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2043,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2044,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2045,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2046,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2047,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2048,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2049,0.637052349,,,,,,
Agriculture,-,Field Burning of Agricultural Residues,,,,BAU,Carbon dioxide equivalent,CO2e,MMmt,2050,0.637052349,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2020,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2021,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2022,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2023,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2024,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2025,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2026,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2027,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2028,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2029,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2030,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2031,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2032,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2033,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2034,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2035,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2036,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2037,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2038,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2039,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2040,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2041,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2042,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2043,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2044,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2045,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2046,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2047,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2048,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2049,1.109865772,,,,,,
Agriculture,-,Soil N2O emissions,,,,BAU,Nitrous oxide,N2O,MMmt,2050,1.109865772,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2020,2.665428571,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2021,2.699592857,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2022,2.733757143,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2023,2.767921429,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2024,2.802085714,,,,,,
Agriculture,-,Manure management - CH4,,,,BAU,Methane,CH4,MMmt,2025,2.83625,,,,,,
